Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Nicolas CamposM25-29,BR,#1195,5,43,46,33:49:00,2:34:18,1:31:28,4:44:38,95.2
Victor Pereira RamirezM35-39,CL,#422,94,371,416,55:22:00,2:58:31,1:48:25,5:50:04,84.3
Bruno LucasM35-39,BR,#265,98,391,439,42:43:00,2:55:13,2:05:27,5:53:23,83.8
Genesio FerreiraM30-34,BR,#237,14,58,62,40:45:00,2:34:19,1:28:20,4:49:02,94.8
Ana Paula Teixeira AbdallaF45-49,BR,#1154,12,87,656,59:48:00,3:10:07,2:06:53,6:29:27,89.9
Martin Ortiz De Zevallos MunozM35-39,PE,#420,93,366,408,37:27:00,3:07:45,1:55:22,5:49:18,84.4
Fabiola VieriaF35-39,BR,#1114,11,41,401,50:32:00,3:04:36,1:47:44,5:48:41,89.1
Marcela Marques De Andrade Figueira FariaF40-44,BR,#1132,17,119,762,53:48:00,3:34:40,2:18:44,6:55:28,86.2
Diogo AbreuM35-39,BR,#290,84,322,356,50:37:00,2:51:25,1:49:33,5:42:41,85.5
Paulo Henrique Pereira De OliveiraM30-34,BR,#1232,67,320,354,40:29:00,2:51:48,2:01:15,5:42:09,85.4
Marcelo RomeiroM40-44,BR,#614,100,458,520,46:04:00,2:56:05,2:12:26,6:04:43,81.4
Leonardo DealesandroM55-59,AR,#967,23,645,765,43:36:00,3:15:07,2:46:39,6:56:09,80.3
Joseph MartensM40-44,NL,#575,156,684,818,1:04:48,3:42:51,2:30:37,7:35:14,69.8
Rafaella Lins De BarrosF30-34,BR,#1053,7,44,412,46:55:00,3:03:03,1:53:24,5:49:30,92.9
Juan Pablo Ariotti SantoroM35-39,AR,#439,67,256,276,48:03:00,2:50:43,1:44:56,5:30:51,87.5
Jose Marcio Pinto AzevedoM45-49,BR,#659,60,496,563,50:13:00,3:04:05,2:09:36,6:12:13,81.5
Renato GoulartM40-44,BR,#638,25,127,136,42:18:00,2:30:57,1:46:41,5:07:27,90.8
Julia Morais BarbieriF25-29,BR,#1017,19,128,791,54:53:00,3:11:43,2:38:11,7:08:36,81
GABRIEL SODRÉM25-29,BR,#860,21,222,240,47:32:00,2:50:02,1:39:31,5:24:01,87.9
Fábio SackM45-49,BR,#755,40,375,421,45:47:00,2:56:03,1:56:09,5:50:39,84.7
Kátia RamosF35-39,BR,#1086,24,82,629,1:00:15,3:21:34,1:49:22,6:22:51,83.9
Gabriel MochanskiM18-24,BR,#788,10,215,233,47:08:00,2:38:29,1:52:21,5:23:25,91.9
Glaucio De Lima E CastroM40-44,BR,#490,84,382,429,47:44:00,2:48:03,2:09:08,5:52:25,83.2
Juarez EvangelistaM50-54,BR,#889,42,615,714,1:09:47,3:15:09,2:02:41,6:41:01,81.8
Gabriel KleinMPRO,BR,#15,8,9,9,30:32:00,2:24:49,1:23:41,4:22:42,94.3
Daniel MilesM50-54,AR,#917,14,339,377,48:36:00,3:03:12,1:43:52,5:44:38,90.3
John CardenasM55-59,CO,#992,10,362,404,53:50:00,3:00:43,1:43:04,5:49:06,89.6
Vinícius PaivaM35-39,BR,#299,29,111,118,44:37:00,2:33:43,1:40:10,5:04:18,92.2
Eduardo Toro BedoyaM40-44,BO,#621,114,517,590,1:03:02,3:01:57,2:03:36,6:16:46,79.6
Juan BadaloniM55-59,AR,#990,25,652,774,1:02:20,3:26:24,2:14:08,6:59:53,79.9
Guilherme MoncksM35-39,BR,#418,32,120,127,39:14:00,2:36:38,1:43:37,5:05:25,92
Daniel CorreiaM40-44,BR,#586,53,266,288,42:26:00,2:54:54,1:47:58,5:33:04,86.3
Andre Luiz SimioniM35-39,BR,#315,44,150,160,45:40:00,2:32:02,1:48:46,5:11:16,90.9
Lucas ToledoM30-34,BR,#1208,7,34,36,38:11:00,2:28:01,1:30:41,4:41:59,96.2
Luiz Arator Carvalho VazM30-34,BR,#129,57,245,265,37:58:00,3:06:08,1:37:04,5:28:39,87.6
Pedro Henrique Vianna PereiraM35-39,BR,#301,80,298,330,51:09:00,2:52:50,1:48:14,5:38:35,86.2
Alejandro VeraM40-44,UY,#1222,80,360,399,47:50:00,3:02:04,1:49:38,5:48:09,83.9
Silvia Ines RibeiroF35-39,BR,#1075,34,107,729,1:03:30,3:15:21,2:04:59,6:45:22,80.9
Marcio FerreiraM55-59",BR,#968,1,64,68,36:39:00,2:27:10,1:41:02,4:50:45,99.7
jose valenzuelaM40-44,CL,#573,66,307,339,52:16:00,2:49:39,1:49:58,5:40:25,85.1
Daniel MeneghelM35-39,BR,#307,45,165,175,45:23:00,2:43:47,1:38:33,5:13:07,90.6
Guillermo Gustavo MezzadriM50-54,AR,#946,15,345,384,48:26:00,2:55:28,1:52:13,5:46:07,90
Helton Leonardo Gonçalves BatistaM35-39,BR,#1230,106,423,480,58:56:00,2:51:53,1:57:25,5:59:34,82.9
Leandro QuintanilhaM35-39,BR,#337,56,198,211,34:29:00,2:53:28,1:45:20,5:20:24,89.3
Luiz Henrique GiurnoM35-39,BR,#303,71,276,300,45:20:00,2:50:29,1:47:21,5:34:35,86.8
Jorge GonzalesM35-39,BR,#291,6,32,34,34:01:00,2:27:37,1:32:14,4:39:14,97.1
Daniel MoreiraM30-34,BR,#171,30,156,166,39:24:00,2:52:23,1:33:40,5:11:54,90.5
Daniel SouzaM30-34,BR,#224,69,332,369,42:54:00,2:56:05,1:58:24,5:44:04,85.1
Omer AloussyM55-59,CH,#989,7,299,331,46:23:00,2:48:48,1:54:22,5:38:38,91.3
Marcel AlmeidaM50-54,BR,#922,21,392,440,52:44:00,2:54:50,1:52:13,5:53:33,88.8
Ana Flavia HeideF45-49,BR,#1168,13,95,693,57:36:00,3:25:03,1:59:52,6:36:28,88.9
Pedro Lima RodriguesM30-34,BR,#183,32,162,172,46:06:00,2:39:48,1:40:56,5:12:30,90.4
Jose Luiz CostaM45-49,BR,#683,81,647,768,1:01:05,3:26:18,2:16:22,6:56:39,75.6
Eduardo VeramendiM35-39,PE,#393,122,484,549,46:11:00,3:19:33,1:55:18,6:10:47,81.2
Thiago DeksnysM35-39,BR,#403,140,562,646,48:08:00,3:14:21,2:07:41,6:28:00,78.8
Jose DonaireM50-54,AR,#910,20,387,435,48:48:00,2:58:15,1:55:49,5:53:02,88.9
Marcelo Santana Agapito Da SilvaM30-34,BR,#117,81,416,468,48:02:00,3:04:35,1:53:20,5:58:19,82.9
Flavio FaustM35-39,BR,#371,72,280,306,39:10:00,2:47:55,2:02:34,5:35:24,86.7
Hugh HonoratoM35-39,BR,#258,121,479,543,39:52:00,3:06:10,2:14:13,6:09:11,81.4
Carlos FreitasM40-44,BR,#594,14,65,69,33:05:00,2:38:07,1:34:59,4:50:48,94
Mauricio GramaniM45-49,BR,#700,18,228,247,46:48:00,2:45:27,1:45:24,5:25:31,88.7
Derek BaylyM18-24,PE,#794,4,67,72,36:23:00,2:34:25,1:36:09,4:51:42,97.6
Nathalia De Abreu CamposF30-34,BR,#1045,17,116,754,57:30:00,3:43:13,2:00:11,6:52:12,83.8
Nicolas Daniel LovisoloM35-39,AR,#379,133,519,593,58:18:00,2:59:09,2:05:37,6:17:02,80.3
Marcelo Gaido FerreiraM40-44,BR,#472,41,216,234,46:36:00,2:35:36,1:52:27,5:23:27,88
Diogo MenegazM45-49,BR,#680,26,300,332,37:49:00,2:52:45,2:00:06,5:38:38,86.6
Klaus JüttnerM45-49,DE,#748,39,365,407,51:24:00,2:45:29,2:04:10,5:49:17,84.9
Patricia JunqueiraF55-59",BR,#1188,1,106,726,50:59:00,3:32:05,2:14:09,6:45:03,100
Guilherme CrivelaroM35-39,BR,#442,55,197,210,36:18:00,2:51:36,1:45:43,5:20:22,89.3
Cassius RebelattoM40-44,BR,#540,75,341,379,52:07:00,2:57:48,1:48:25,5:45:25,84.3
Jeferson Pantoja VitorianoM40-44,BR,#611,89,402,452,53:35:00,2:57:32,1:58:18,5:56:11,82.6
Claudio Ramon HermitaM50-54,AR,#935,6,115,122,42:44:00,2:43:48,1:33:09,5:04:43,97.4
Tatiana DebiasiF35-39,BR,#1079,23,80,619,55:34:00,3:08:07,2:08:29,6:20:35,84.3
Pablo NunesM40-44,BR,#552,26,131,140,37:30:00,2:40:19,1:43:58,5:07:43,90.8
Fabiano BegliominiM35-39,BR,#296,126,501,569,57:38:00,2:52:54,2:16:18,6:13:38,80.8
Rafael SiqueiraM40-44,BR,#513,135,574,663,57:51:00,3:08:44,2:13:58,6:30:07,77.8
Maira LucasF30-34",BR,#1050,3,25,301,36:18:00,3:08:37,1:43:39,5:34:47,95.3
Ulisses Fernandes MacedoM30-34,BR,#113,61,260,281,48:07:00,2:53:21,1:42:48,5:31:41,87.1
Jorge MoreiraM45-49,BR,#693,13,157,167,46:53:00,2:38:02,1:41:12,5:11:59,91.1
Jose Roberto CerqueiraM55-59,BR,#957,26,659,786,57:32:00,3:42:29,2:17:48,7:06:02,79.1
Renato Correa BatistaM45-49,BR,#713,51,452,513,48:34:00,2:55:00,2:07:37,6:03:20,82.7
Solange De A Gariba DainezF50-54",BR,#1173,3,70,573,55:40:00,3:11:30,1:57:27,6:14:21,97.1
Juan DegiovanniM40-44,AR,#587,30,148,158,40:57:00,2:39:13,1:43:22,5:10:26,90.3
Bruno GuedesM45-49,BR,#747,30,309,342,48:51:00,2:47:46,1:52:45,5:40:33,86.3
Wagner Da Cunha WeberM35-39,BR,#402,52,191,204,33:43:00,2:43:57,1:56:35,5:19:45,89.4
Gustavo FioranteM30-34,BR,#162,10,52,55,35:16:00,2:35:32,1:31:14,4:47:37,95
Luiz Fernando De SouzaM40-44,BR,#459,139,604,700,57:36:00,3:08:48,2:20:40,6:37:52,76.7
Daniel GomesM35-39,BR,#310,96,378,424,41:51:00,3:01:45,2:00:54,5:51:48,84.1
Pedro Alexandre Ismael Amaral SilvaM30-34,BR,#150,83,438,497,48:59:00,2:53:37,2:11:46,6:01:07,82.4
Elen LimaF35-39,BR,#1101,5,15,225,44:42:00,2:59:20,1:32:27,5:22:15,93.5
Rafaela VillablancaF25-29,CL,#1035,15,101,719,49:06:00,3:19:22,2:23:00,6:43:21,84.2
Felipe Dalbianco GonzagaM35-39,BR,#313,40,138,147,34:41:00,2:52:20,1:36:30,5:08:23,91.4
Ricardo GrizottiM40-44,BR,#470,62,295,326,42:31:00,2:53:49,1:54:35,5:37:57,85.5
Leticia Leitao Paura FerreiraF35-39,BR,#1087,37,115,747,56:48:00,3:20:53,2:22:36,6:51:20,80.1
Leonardo PoernerM40-44,BR,#500,22,109,115,36:48:00,2:38:19,1:43:24,5:03:33,91.6
Fernando SatoM50-54,BR,#890,37,592,686,1:03:26,3:11:04,2:02:06,6:34:49,82.7
Melina Guedes CavalcantiF40-44",BR,#1128,1,19,244,43:50:00,2:46:14,1:48:31,5:24:55,99.7
Rodrigo JorgeM40-44,BR,#505,42,232,251,38:39:00,2:43:16,1:56:55,5:26:09,87.5
Arnaud CoquilleM45-49,FR,#765,36,346,385,1:01:27,2:46:54,1:47:26,5:46:15,85.3
Asterio StolfM30-34,BR,#159,18,71,76,39:56:00,2:28:28,1:39:20,4:52:58,94
Dafne KoskiniotisF50-54",AR,#1181,1,53,471,47:59:00,3:05:27,1:57:57,5:58:36,99.5
Hernan Braun BunsterM45-49,CL,#710,56,485,551,57:32:00,2:47:31,2:16:07,6:11:00,81.6
David Alves De AraujoM35-39,BR,#336,22,91,97,40:34:00,2:41:26,1:30:21,4:58:29,93.3
Thais Gomes Vasques DinizF25-29,BR,#1010,5,26,303,46:50:00,2:58:19,1:42:20,5:35:00,94.4
Daniel W WongM30-34,US,#243,54,234,253,40:53:00,2:41:04,1:56:48,5:26:29,87.9
Raul SousaM18-24,BR,#783,12,354,393,41:54:00,3:00:38,1:56:30,5:47:30,88
Stephanie GonzalezF40-44,US,#1242,9,55,475,1:01:51,2:55:26,1:55:54,5:59:05,94.2
Marcelo Verissimo De MelloM50-54,BR,#899,30,507,577,44:29:00,3:26:55,1:54:30,6:15:04,85.5
Cesar Lima CamposM40-44,BR,#469,28,135,144,38:13:00,2:47:23,1:36:28,5:08:02,90.7
Alfredo Maximiliano YemalM45-49,AR,#760,25,297,329,36:04:00,2:52:43,2:03:50,5:38:31,86.6
Rodrigo RenhaM35-39,BR,#384,152,602,697,52:17:00,3:05:33,2:29:31,6:37:06,77.5
Bernardo VitaM30-34,BR,#119,71,356,395,41:37:00,3:13:55,1:45:09,5:47:37,84.5
Fernanda MagalhaesF35-39,BR,#1080,41,127,784,1:03:40,3:30:40,2:20:26,7:05:00,78.4
