Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Gabriela MoraesF25-29",BR,#1160,3,26,454,26:03:00,2:49:36,1:46:09,5:07:20,97.3
Inês BarbosaF55-59",BR,#1427,3,192,1232,48:58:00,2:57:15,2:19:59,6:15:25,92.3
Claudinei Simoes PiresM50-54",BR,#1649,3,134,139,--:--,--:--,--:--,4:43:02,96.4
Yuri YoshidaM18-24",BR,#1453,3,137,142,32:35:00,2:31:09,1:34:04,4:43:23,97
Sandra KawasakiF45-49",BR,#1408,3,33,519,33:39:00,2:45:17,1:46:22,5:11:36,97.6
Ranniery Camilo DamacianoM25-29",BR,#1495,3,17,17,27:09:00,2:16:58,1:26:29,4:14:58,99.5
Isadora Miato AndreattiF18-24,BR,#1153,4,171,1172,38:06:00,3:10:31,2:09:25,6:07:09,90.6
Lino Henrique NardinM25-29,BR,#1474,4,33,34,31:10:00,2:20:06,1:23:26,4:20:09,98.4
Pamela Lo DucaF30-34,BR,#1157,4,15,386,34:50:00,2:37:17,1:44:28,5:02:48,96.6
Monica RothF45-49,CH,#1380,4,42,563,35:11:00,2:46:43,1:45:54,5:14:28,97.1
Ana Cecilia Cançado Xavier NascimentoF35-39,BR,#1257,4,25,444,39:29:00,2:46:39,1:33:14,5:06:39,97.4
Ricardo FavorettoM30-34,BR,#1136,4,32,33,30:09:00,2:21:30,1:23:47,4:19:58,99.3
Carolina FurrielaFPRO,BR,#26,4,4,125,27:41:00,2:39:57,1:28:04,4:39:36,95.5
Pablo Emilio BrunelliM45-49,AR,#385,4,91,93,31:19:00,2:21:03,1:35:17,4:32:07,98.8
Cristine LopesF40-44,BR,#1281,4,21,428,36:34:00,2:44:28,1:37:19,5:05:28,94.9
Angela Filomena Galone GomesF55-59,BR,#1425,4,235,1347,43:33:00,3:29:22,2:18:44,6:48:00,87.5
Claudio CapitaoM55-59,BR,#1692,4,307,317,37:00:00,2:41:31,1:32:19,4:57:46,93.1
Patricia BadariF50-54,BR,#1406,4,136,1054,39:02:00,3:08:26,1:56:09,5:52:34,96.9
Alan LimaM40-44,BR,#622,4,20,20,28:49:00,2:20:14,1:22:19,4:15:41,99.5
Cassandra ConinckF25-29,BR,#1164,4,28,481,32:35:00,2:43:41,1:47:46,5:09:27,96.9
Murilo Bauer DaitxM18-24,BR,#1470,4,259,265,35:22:00,2:39:06,1:34:14,4:55:21,94.6
Ricardo Morais MachadoM35-39,BR,#568,4,23,23,29:06:00,2:19:31,1:23:27,4:16:38,99.6
