Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Denise FernandesF30-34,BR,#1140,29,163,938,42:08:00,3:09:27,2:25:16,6:22:51,83
Daniela Cristina De Oliveira BuenoF30-34,BR,#1136,36,222,1125,47:24:00,3:38:53,2:43:56,7:17:28,75.9
Fernanda Camargo FerreiraF30-34,BR,#1142,20,93,728,41:22:00,3:03:10,2:05:25,5:55:48,87
Marina JacobF30-34",BR,#1159,2,5,133,40:12:00,2:35:42,1:29:39,4:49:42,98.8
Mireia MasipF30-34",ES,#1160,3,7,158,35:06:00,2:32:34,1:42:02,4:53:39,98
Marília CesárioF30-34,BR,#1157,6,21,321,37:47:00,2:43:43,1:49:32,5:15:33,93.9
Dara BlancoF30-34,PY,#1138,25,133,863,43:15:00,3:13:03,2:09:16,6:12:16,84.5
Carolina MilitãoF30-34,BR,#1132,10,42,489,38:52:00,2:49:16,1:56:29,5:31:50,91
Carmen Montaño FloresF30-34,BO,#1131,15,65,606,41:29:00,2:55:20,2:00:30,5:43:56,88.9
Bruna SeibertF30-34,BR,#1129,36,222,1125,45:59:00,3:35:37,2:43:21,7:17:28,75.9
Alejandra Andrea Vergara TapiaF30-34,CL,#1124,13,49,533,37:18:00,2:39:50,2:16:02,5:36:52,90.1
Vanessa Ribeiro De Sousa SantosF30-34,BR,#1175,12,48,512,37:49:00,2:43:32,2:07:57,5:35:13,90.4
Patricia SigristF35-39,BR,#1230,65,226,1130,47:28:00,3:28:41,2:56:47,7:20:36,73.6
Sara De Sousa MarecoF35-39,BR,#1237,34,104,768,51:48:00,2:58:41,2:04:24,5:59:46,84.3
Marta Marina EilertF35-39,AR,#1225,66,233,1152,49:04:00,3:28:32,3:12:09,7:40:19,71.4
Simone NoronhaF35-39,BR,#1240,62,205,1077,53:26:00,3:23:01,2:31:35,6:56:47,76.5
Aluska RodriguesF35-39,BR,#1181,44,129,858,45:31:00,2:58:37,2:18:57,6:11:49,82.5
Camila GiraldelloF35-39,BR,#1189,33,101,757,38:22:00,2:42:29,2:32:16,5:58:59,84.4
Thais WahbaF35-39,BR,#1243,11,35,455,38:39:00,2:46:26,1:59:37,5:28:21,89.4
Vanessa MedeirosF35-39,BR,#1247,40,120,823,40:18:00,3:00:54,2:19:22,6:07:58,83.1
Juliana MafraF35-39",BR,#1214,3,8,202,31:43:00,2:36:04,1:47:58,4:59:55,94.5
Juliana Jardim Casimiro AraújoF35-39,BR,#1213,12,36,458,43:47:00,2:44:41,1:55:28,5:28:30,89.3
Janira MeneghettiF35-39,BR,#1209,31,95,732,37:49:00,2:56:51,2:16:39,5:56:07,84.9
Ana AlencarF35-39,BR,#1182,14,45,504,44:03:00,2:51:03,1:52:38,5:34:04,88.4
Juliane Verdade MachadoF35-39,BR,#1215,22,67,613,47:07:00,2:52:25,1:57:06,5:44:45,86.7
Daniele Regina Souza DuarteF35-39,BR,#1197,36,107,776,45:00:00,3:11:29,1:57:58,6:00:46,84.2
Carolina Leite AlonsoF35-39,BR,#1191,7,18,310,36:39:00,2:46:27,1:46:07,5:13:52,91.9
Joana OliveiraF35-39,BR,#1210,42,126,846,38:03:00,3:08:38,2:16:55,6:10:19,82.7
Silvia Inês RibeiroF35-39,BR,#1238,35,106,773,48:49:00,2:57:26,2:08:01,6:00:07,84.3
Adriana Vasconcelos CoutinhoF35-39,BR,#1176,16,51,552,39:56:00,2:45:49,2:07:44,5:38:17,87.7
Paula RovaniF35-39,BR,#1231,4,9,212,37:34:00,2:39:31,1:39:49,5:00:56,94.3
Simone CarneiroF35-39,BR,#1239,59,196,1052,48:03:00,3:19:37,2:29:43,6:50:07,77.3
Valeria MustafaF35-39,BO,#1245,32,99,745,38:36:00,3:09:50,1:59:47,5:57:41,84.6
Elina FádellF35-39,BR,#1199,48,149,902,45:00:00,3:05:48,2:19:19,6:17:40,81.7
Patricia BaezaF35-39,CL,#1227,24,77,662,38:37:00,2:48:01,2:17:38,5:49:15,85.9
Antonella OrtizF35-39,CL,#1186,60,197,1054,50:20:00,3:23:17,2:28:47,6:50:14,77.3
Fernanda KasaiF35-39,BR,#1202,57,186,1010,44:41:00,3:20:33,2:22:15,6:36:08,79.1
Fernanda GonçalvesF35-39,BR,#1201,37,116,808,47:41:00,3:05:05,2:03:46,6:05:29,83.5
Andrea Soledad MoralesF35-39,AR,#1185,6,15,271,38:47:00,2:35:30,1:50:32,5:09:16,92.7
Ana Cecilia Cançado Xavier NascimentoF35-39,BR,#1183,5,11,248,40:30:00,2:46:29,1:33:40,5:06:10,93.3
Denise LorenzoniF35-39,BR,#1198,13,41,488,40:10:00,2:53:54,1:53:22,5:31:41,88.8
Cristiane SadzinskiF35-39,BR,#1195,17,52,554,39:32:00,2:55:07,1:58:34,5:38:42,87.6
Carolina PozzoliF35-39,BO,#1192,28,86,700,45:26:00,2:55:01,2:03:05,5:53:18,85.3
Isabela CecereF35-39,BR,#1207,64,219,1115,46:43:00,3:33:57,2:42:41,7:13:04,74.5
Kessia GamaF35-39,BR,#1216,52,168,951,1:03:10,3:05:02,2:08:13,6:25:09,80.6
Patricia Berenstein PereiraF35-39,BR,#1228,9,26,371,38:20:00,2:43:33,1:52:26,5:20:56,90.6
Lori SilvaF35-39,US,#1218,15,50,545,42:15:00,2:49:31,1:59:12,5:37:44,87.8
Camila Cristina Vergilio Lima VergilioF35-39,BR,#1188,47,148,900,40:31:00,3:15:17,2:15:05,6:17:35,81.7
Sabrina Yuri Hatayama ShiraishiF35-39,BR,#1236,26,83,684,42:09:00,2:57:40,2:05:05,5:51:29,85.6
Flávia Valente Porto MachadoF35-39,BR,#1204,46,139,879,42:51:00,2:59:26,2:27:04,6:14:46,82.1
Julia AbreuF35-39,BR,#1211,61,198,1055,46:27:00,3:14:27,2:40:39,6:50:33,77.3
Rharana RibeiroF35-39,BR,#1234,25,81,679,42:14:00,2:55:33,2:06:48,5:50:46,85.7
Alline Simoes FerreiraF35-39,BR,#1180,49,153,914,48:52:00,3:04:00,2:17:59,6:18:53,81.5
Alba Marina Gaona De RossatoF35-39,PY,#1177,27,85,699,43:31:00,2:54:19,2:10:12,5:53:15,85.3
Marcela Takabatake De PaivaF35-39,BR,#1219,38,117,811,38:15:00,3:04:42,2:19:54,6:06:42,83.3
Talita Chame BittencourtF35-39,BR,#1241,54,178,987,56:40:00,2:59:41,2:28:26,6:31:58,79.7
Larissa Berber Arias SlapelisF35-39,BR,#1217,20,64,605,42:05:00,2:51:06,2:05:46,5:43:42,86.8
Graziela Tomasi BertoliniF35-39,BR,#1206,43,127,847,45:04:00,3:03:16,2:14:51,6:10:23,82.7
Julia CamposF35-39,BR,#1212,55,179,992,46:31:00,3:23:17,2:16:24,6:32:51,79.6
Vivian OliveiraF35-39,BR,#1248,10,29,380,44:02:00,2:52:37,1:38:36,5:21:27,90.6
Natalia Cristine Sales Santos MachadoF35-39,BR,#1226,53,172,972,55:06:00,3:00:59,2:27:59,6:29:25,80
Aline JosinoF35-39,BR,#1178,67,238,1166,1:05:10,--:--,--:--,8:02:25,
Thais Gomes Marcasinio PoliF35-39,BR,#1242,62,205,1077,54:42:00,3:21:55,2:31:27,6:56:47,76.5
Flavia MeyerF35-39",BR,#1205,2,2,71,31:32:00,2:27:33,1:35:56,4:38:51,98.7
Mariana Da Fonseca PereiraF35-39,BR,#1223,19,60,583,40:03:00,2:42:56,2:10:29,5:41:23,87.2
Aline SamyF35-39,BR,#1179,51,162,934,47:25:00,3:19:19,2:04:50,6:22:34,81
Constanza Ramirez Mac-LeanF35-39,CL,#1194,30,91,718,47:41:00,2:54:29,2:07:03,5:54:36,85.1
Camila Dias De SouzaF35-39,BR,#1187,45,135,867,50:31:00,3:03:28,2:13:49,6:13:19,82.3
Roberta MesquitaF35-39,BR,#1235,21,66,607,30:32:00,2:58:11,2:07:53,5:44:01,86.8
Patricia MarcelinoF35-39,BR,#1229,41,124,839,49:56:00,3:06:50,1:58:37,6:09:32,82.9
Daniela Renzo Grigoletto MonteiroF35-39,BR,#1196,50,159,931,38:42:00,3:05:20,2:30:17,6:22:11,81
Iuska Sampaio CunhaF35-39,BR,#1208,23,75,641,42:21:00,2:58:19,2:01:44,5:47:01,86.3
Ana Maria Huber BaurF35-39,BR,#1184,56,184,1006,44:18:00,3:26:29,2:17:48,6:35:32,79.2
Mariana MachadoF35-39,BR,#1222,58,191,1021,51:29:00,3:08:57,2:32:18,6:39:10,78.7
Marisa BarbinF35-39,BR,#1224,29,89,707,37:44:00,2:53:43,2:16:10,5:53:42,85.2
Rafaela MaurinaF35-39,BR,#1233,8,23,346,40:14:00,2:48:43,1:44:31,5:18:19,91.1
Priscila Frantz RuffF35-39,BR,#1232,39,118,813,38:27:00,2:56:58,2:25:23,6:06:46,83.3
Fernanda PalmaF35-39",BR,#1203,1,1,58,27:24:00,2:22:45,1:41:48,4:35:30,99.4
Carmen Maria Pereira BogadoF35-39,PY,#1190,18,55,565,40:13:00,2:54:15,1:58:34,5:39:47,87.5
Debora Alejandra BeautteF40-44,AR,#1262,20,123,837,46:38:00,3:02:39,2:12:40,6:09:28,86
Hanna CostaF40-44,BR,#1269,26,158,930,34:38:00,2:57:29,2:41:28,6:22:10,84.1
Lawrene GonzalezF40-44,BR,#1277,23,145,893,46:38:00,3:02:54,2:15:20,6:16:50,84.9
Ana Karina ScarlatoF40-44,BR,#1252,9,63,602,45:36:00,2:51:55,2:01:00,5:43:15,90
Débora PereiraF40-44,BR,#1263,10,71,630,42:21:00,2:51:07,2:07:41,5:46:16,89.5
Katia Crastechini De Padua FleuryF40-44,BR,#1274,27,165,941,41:17:00,3:14:28,2:18:28,6:23:07,84
Priscila AraujoF40-44,BR,#1291,19,110,796,44:20:00,2:54:05,2:18:40,6:03:52,86.8
Adriana Pinto RomagnoliF40-44,BR,#1249,35,188,1014,54:26:00,3:18:43,2:15:43,6:36:30,82.2
Alessandra OliveiraF40-44,BR,#1250,34,182,1001,40:32:00,3:29:21,2:14:08,6:33:46,82.5
Camila PrenholattoF40-44,BR,#1254,39,207,1080,56:31:00,3:10:19,2:38:25,6:56:52,79.5
Eva Matos PinhoF40-44,BR,#1265,10,71,630,38:02:00,2:56:13,2:02:17,5:46:16,89.5
Simone AraujoF40-44,BR,#1298,36,201,1068,1:04:27,3:09:26,2:25:13,6:53:07,80
Maria Caroline StengerF40-44,CL,#1283,22,136,872,41:21:00,3:00:32,2:26:35,6:13:52,85.3
Daniela FortesF40-44,BR,#1261,28,170,964,42:28:00,3:12:24,2:27:15,6:28:44,83.2
Chiara Abreu AraújoF40-44,BR,#1256,33,181,996,41:18:00,3:23:25,2:17:54,6:33:10,82.6
Juliana MachadoF40-44,BR,#1272,4,39,480,27:25:00,2:45:29,2:12:26,5:30:25,92.1
Cynthia Emili DayanF40-44,AR,#1259,21,134,865,40:29:00,3:08:02,2:15:42,6:12:54,85.5
Marcele SalaverryF40-44,BR,#1281,42,215,1104,48:19:00,3:14:24,2:48:55,7:06:31,78.3
Natailse Pinheiro BarbosaF40-44,BR,#1288,32,179,992,50:18:00,3:06:09,2:29:18,6:32:51,82.7
Maria GennariF40-44,BR,#1284,5,42,489,38:39:00,2:41:24,2:06:22,5:31:50,91.9
Luci Mara BarbieroF40-44,BR,#1280,43,216,1105,58:17:00,3:34:37,2:25:03,7:07:01,78.3
Carolina Palermo CarloneF40-44,BR,#1255,17,103,765,35:04:00,3:10:29,2:09:02,5:59:38,87.4
Silvia SomazzF40-44,BR,#1297,31,176,982,55:12:00,3:12:13,2:17:30,6:30:54,82.9
Silvia Helena Barbosa PradoF40-44",BR,#1296,2,13,266,36:08:00,2:42:44,1:45:26,5:08:21,96
Tatiana Gigliolla Bernardino SantosF40-44,BR,#1373,45,218,1113,49:27:00,3:23:25,2:47:29,7:10:47,77.8
Silmara CastroF40-44,BR,#1295,24,146,896,54:23:00,3:02:32,2:14:37,6:17:11,84.8
Marianne SobralF40-44,BR,#1285,14,87,702,44:46:00,2:54:32,2:08:44,5:53:19,88.4
Jakeline KarlaF40-44,BR,#1270,8,58,572,42:24:00,2:49:28,2:01:27,5:40:51,90.4
Larissa CoelhoF40-44,BR,#1276,6,47,511,34:08:00,2:54:26,2:01:15,5:34:50,91.4
Lilya WrobelF40-44,BR,#1278,12,78,667,41:37:00,2:56:27,2:05:02,5:49:39,89
Patrícia CunhaF40-44,BR,#1289,44,217,1111,55:00:00,3:33:12,2:35:20,7:09:27,78
Larissa Bastos TavaresF40-44,BR,#1275,15,88,703,37:10:00,2:55:04,2:14:21,5:53:26,88.4
Fernanda Silveira Bello De BarrosF40-44,BR,#1268,29,171,965,36:04:00,3:33:15,2:10:26,6:28:50,83.2
Sheyla Moreira Burgos LessaF40-44,BR,#1293,47,229,1138,1:03:58,3:28:15,2:44:06,7:23:33,76.3
Patricia GuardabassiF40-44,BR,#1290,13,84,695,38:33:00,2:57:09,2:13:22,5:52:51,88.5
Cacilda CastroF40-44,BR,#1253,18,109,794,56:57:00,2:58:18,1:59:32,6:03:34,86.8
Liselene BorgesF40-44,BR,#1279,38,204,1075,45:20:00,3:10:52,2:50:22,6:56:34,79.6
Fernanda MattosF40-44,BR,#1267,16,92,726,44:48:00,3:06:04,1:58:11,5:55:27,88.1
Adriana LimaF40-44,BR,#1379,41,214,1101,47:43:00,3:13:00,2:57:07,7:05:18,78.5
Suzidarly Ribeiro Teixeira FernandesF40-44,BR,#1300,36,201,1068,57:43:00,3:18:37,2:25:42,6:53:07,80
Rosa FernandesF40-44",BR,#1292,1,6,134,34:34:00,2:32:54,1:38:23,4:49:54,99.5
Shirley RodasF40-44,PY,#1294,46,220,1120,1:04:53,3:29:19,2:33:58,7:15:24,77.3
Marina BeccagliaF40-44,AR,#1286,25,154,916,42:06:00,2:53:49,2:33:24,6:18:58,84.6
Fabiana MouraF40-44",BR,#1266,3,31,394,38:18:00,2:50:46,1:47:35,5:23:02,93.4
Tamara Rinaldi GussiardiF40-44,BR,#1301,40,210,1093,1:07:56,3:27:53,2:15:31,7:01:41,78.9
Christiane Moura VelhoF40-44,BR,#1257,30,174,977,44:22:00,3:22:09,2:14:08,6:30:15,83
Cristianne CarvalhoF40-44,BR,#1258,7,57,570,37:30:00,2:50:15,2:05:40,5:40:44,90.4
Jessica Moreira BatistaF45-49,BR,#1323,5,33,434,37:48:00,2:50:11,1:54:09,5:26:35,95.5
Ylse Yuri SasaiF45-49,BR,#1341,14,111,798,31:33:00,3:02:41,2:25:50,6:04:05,89.2
Alessandra MourãoF45-49,BR,#1303,10,62,600,38:45:00,2:48:51,2:08:28,5:42:57,92.6
Fabricia Pacifico Seabra ChavesF45-49,BR,#1319,39,235,1161,50:15:00,3:47:49,3:00:15,7:48:11,75.5
Ana Paula RizoF45-49,BR,#1306,36,224,1127,1:02:12,3:31:54,2:36:22,7:17:41,79.1
Luiza Fonseca TaquesF45-49,BR,#1326,11,74,635,44:57:00,2:57:12,1:57:39,5:46:32,92
Catherine SouyetF45-49,CL,#1315,8,44,500,43:15:00,2:42:40,2:00:26,5:33:00,94.3
Beatriz BetcherF45-49,BR,#1313,35,213,1100,49:11:00,3:23:18,2:44:43,7:04:58,80.7
Elisa HospitalecheF45-49,AR,#1318,17,137,874,41:23:00,3:01:48,2:24:21,6:14:09,87.7
Glaucia LippelF45-49,BR,#1322,21,143,888,34:41:00,2:51:16,2:45:26,6:16:05,87.4
Maria Fernanda La ReginaF45-49,BR,#1329,7,38,473,36:25:00,2:50:30,1:58:38,5:29:38,94.9
Janaina Heckert RoterF45-49,BR,#1378,23,156,921,48:29:00,2:53:34,2:31:11,6:20:45,86.7
Ana Luiza DiasF45-49,BR,#1304,25,161,933,47:44:00,3:10:41,2:14:26,6:22:26,86.4
Claudia AlbuquerqueF45-49,BR,#1386,24,160,932,46:32:00,3:03:36,2:24:13,6:22:19,86.5
Luciane MildenbergerF45-49,BR,#1325,15,130,859,47:31:00,2:51:32,2:25:48,6:12:04,88
Renata Vilhena SilvaF45-49,BR,#1336,16,131,861,47:35:00,3:05:56,2:09:54,6:12:08,88
Gabriela Paz DemariaF45-49,CL,#1320,19,140,880,40:43:00,2:55:49,2:32:42,6:14:52,87.6
Liana David MacedoF45-49,BR,#1324,18,138,878,46:37:00,3:15:21,2:01:45,6:14:32,87.6
Renata Baesso PereiraF45-49,BR,#1335,9,56,566,41:21:00,2:50:34,2:00:33,5:39:52,93.1
Andrea Veronica Pozo BasaureF45-49,BO,#1311,26,169,959,40:16:00,3:20:21,2:15:37,6:27:45,85.7
Analia Beatriz Duarte MedinaF45-49,PY,#1309,38,230,1139,42:32:00,3:41:10,2:48:37,7:24:53,78.2
Sara QuaglioF45-49,BR,#1337,29,190,1019,36:36:00,3:13:51,2:41:59,6:38:27,84.2
Catia Tomaz De CarvalhoF45-49,BR,#1316,12,100,748,50:53:00,3:10:00,--:--,5:57:55,
Patricia PrimF45-49",BR,#1332,2,12,264,36:35:00,2:40:21,1:47:20,5:08:09,98.8
Ana Paula Teixeira AbdallaF45-49,BR,#1307,13,102,761,45:24:00,2:56:40,2:07:09,5:59:15,90
Sofia Mazon GonçalvesF45-49",BR,#1339,1,10,234,36:47:00,2:37:50,1:45:05,5:04:32,99.5
