Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Juan RojasM30-34,AR,#651,39,246,276,42:38:00,3:29:54,2:22:06,6:42:40,76.5
Vladimir Guinez MartinezM30-34,BE,#329,41,254,288,42:43:00,3:37:32,2:19:42,6:50:03,75.5
Juan Pablo IbañezM35-39",AR,#228,2,23,26,33:31:00,2:38:36,1:26:08,4:46:40,95.8
Sergio CutuliM50-54,AR,#234,16,140,159,39:23:00,3:10:38,1:56:15,5:53:12,89.3
Andres PeiranoM35-39,CL,#386,64,305,353,47:01:00,3:57:35,2:26:39,7:36:40,70.3
Kennett PetersonMPRO,US,#2,4,4,4,27:34:00,2:17:19,1:26:48,4:14:46,97.2
Juan Manuel Filice VialeM40-44,AR,#469,35,183,207,37:15:00,3:11:37,2:07:09,6:08:09,81.1
Mariana ErroF40-44,AR,#272,11,43,320,44:50:00,3:46:32,2:29:39,7:12:25,83.3
Luíza CravoFPRO,BR,#26,4,4,28,30:22:00,2:47:38,1:25:12,4:47:31,97.5
Sebastian SicaM45-49,AR,#643,28,150,170,33:51:00,3:06:44,2:06:35,5:55:54,85
Antonio SesinM35-39,AR,#389,61,297,345,46:49:00,3:46:29,2:43:24,7:28:56,71.1
Pablo Antonio KoharicM45-49,AR,#210,21,124,142,39:27:00,3:01:42,1:59:12,5:46:26,86.5
Hugo RodriguezM50-54,US,#217,20,203,228,35:05:00,3:21:09,2:09:04,6:18:49,85.3
Rudyard Morin RiffoM40-44,CL,#489,54,316,369,39:47:00,3:56:44,3:08:10,8:01:36,67.1
Luis LeguizamonM55-59,AR,#606,15,313,365,52:24:00,4:07:27,2:39:24,7:52:33,79.6
Adrian Rafael SangoiM35-39,AR,#158,9,51,56,34:32:00,2:52:40,1:34:58,5:06:47,91.9
Elber Barbosa JrM40-44,BR,#159,13,94,106,38:06:00,3:02:26,1:43:04,5:33:13,86.7
Matias BoscafioriM45-49,AR,#496,52,250,282,45:19:00,3:43:07,2:08:43,6:46:05,77.7
James TurleyM30-34,GB,#335,34,221,249,35:01:00,3:28:55,2:12:59,6:27:43,78.6
Carlos ValenciaM35-39,PE,#200,36,175,197,48:10:00,3:07:55,1:58:06,6:04:49,82.1
Martin Otto FreiM30-34,AR,#340,23,148,168,37:35:00,3:06:04,2:06:36,5:55:36,83.3
Miguel Sanchez SanchezM55-59",AR,#187,1,97,109,39:30:00,3:03:16,1:43:22,5:34:20,99.6
Marcelo WaldheimM45-49,US,#171,22,132,150,36:48:00,3:06:38,1:55:58,5:49:22,86.1
Kazumasa HanedaM40-44,JP,#42,32,162,182,36:53:00,3:11:39,1:53:18,6:00:08,82.3
Pablo Ignacio HidalgoM40-44,AR,#204,21,128,146,39:46:00,3:12:05,1:47:44,5:47:03,84.4
Veronica ArriagadaF45-49",CL,#624,1,8,75,35:43:00,2:55:49,1:40:44,5:18:36,100
Mercedes MonasterioF45-49,AR,#282,8,51,360,43:42:00,4:23:38,2:26:42,7:48:32,77.5
Isaac BertuolM40-44,BR,#448,49,287,334,1:01:37,3:53:11,2:11:19,7:20:03,71.6
Pablo Siqueira De MedeirosM35-39,BR,#199,27,138,156,41:02:00,3:11:45,1:49:36,5:51:50,84.1
Francisco MoreriraM30-34,CL,#151,11,43,48,32:18:00,2:44:48,1:39:53,5:02:08,92.8
Eduardo Arend SerranoM35-39,CL,#413,44,207,233,40:33:00,3:30:42,1:57:44,6:22:13,79.6
Francisco RoselloM45-49,AR,#530,41,198,223,39:31:00,3:10:28,2:20:17,6:17:39,81.7
Laura FontanaF45-49,AR,#140,4,29,255,37:33:00,3:35:47,2:06:30,6:30:40,87.8
Astrid BaumwollspinnerF40-44,AR,#278,9,33,285,44:03:00,3:44:17,2:09:28,6:47:42,86.5
Omar MartinM50-54,AR,#590,22,234,264,44:04:00,3:23:08,2:14:11,6:36:37,82.8
Alejandro GuevaraM18-24,AR,#298,10,259,295,40:09:00,3:35:30,2:31:27,6:55:29,77.7
Santiago CamachoM30-34,EC,#356,38,240,270,45:17:00,3:19:35,2:12:34,6:39:07,77
Mauro MonsoM35-39,AR,#376,60,289,336,44:56:00,3:57:26,2:26:55,7:21:36,72
Santiago ColatruglioM18-24,AR,#304,9,127,145,36:57:00,3:05:29,1:53:11,5:46:48,87.4
Sergio Avalos AgarM30-34,CL,#327,47,314,366,46:33:00,4:22:28,2:29:45,7:52:46,68.2
Lisandro CampanellaM50-54,AR,#648,24,241,271,35:32:00,3:06:11,2:47:10,6:39:20,82.4
Gabriel BrunoM45-49,AR,#209,11,69,77,34:16:00,2:53:02,1:47:14,5:20:47,91
Maricela CuelloF25-29",AR,#621,1,22,190,43:43:00,3:24:48,1:47:30,6:02:04,99.6
Alejandro OpassiM50-54,AR,#649,18,192,217,36:34:00,3:21:30,2:03:08,6:12:06,86.3
Veronica Alejandra IuornoF30-34",AR,#134,2,15,127,46:52:00,3:08:16,1:41:38,5:43:09,97.5
Maria Eugenia GodoyF45-49",AR,#142,3,24,205,53:41:00,3:11:23,1:53:23,6:07:28,91.4
Tomas OmaechevarriaM25-29",AR,#147,1,21,23,31:50:00,2:37:22,1:31:14,4:45:14,99.7
Mariana Beatriz BolzoniF40-44,AR,#279,15,55,378,46:35:00,4:30:38,2:50:49,8:22:31,75.4
Arnaldo ToméM30-34,BR,#349,17,84,94,38:36:00,2:51:13,1:49:10,5:28:25,87.9
Martin NotararigoM35-39,AR,#423,18,78,86,38:14:00,3:03:58,1:38:21,5:25:29,88.5
Claudio Ramon HermitaM50-54,AR,#214,7,74,82,37:09:00,3:03:48,1:38:49,5:24:36,94.1
Alejandro LilloM50-54,CL,#236,9,83,93,36:22:00,2:55:24,1:50:24,5:28:22,93.4
Ana Luiza Barbosa De OliveiraF40-44",BR,#108,3,12,97,42:36:00,3:06:36,1:27:46,5:30:11,98.3
Javier Hernan BerdascoM30-34,AR,#630,43,298,346,50:43:00,3:57:11,2:23:17,7:30:42,70.6
Humberto Eduardo MartinezM45-49,AR,#644,60,281,325,45:48:00,3:28:36,2:49:19,7:16:05,74
Yerko Lolas MarinovicM35-39,CL,#384,39,188,213,45:54:00,3:13:35,2:03:16,6:11:01,81.2
Andres GrifferoM45-49,AR,#548,24,139,158,45:12:00,2:58:15,2:02:06,5:52:25,85.6
Gaston MonforteM40-44,AR,#465,45,245,275,32:27:00,3:45:06,2:09:15,6:41:52,76.3
Roberto JureM45-49,AR,#502,42,204,230,46:22:00,3:18:57,2:06:52,6:20:53,81.2
Andre LopesMPRO,BR,#11,5,5,5,26:26:00,2:26:42,1:21:01,4:17:25,96.6
Luciana HaddadF40-44",BR,#107,2,10,90,36:03:00,3:08:55,1:38:18,5:27:38,98.7
Romina PalacioFPRO",AR,#23,2,2,18,26:51:00,2:43:46,1:27:22,4:41:27,98.6
Eduardo LongoM35-39,AR,#420,21,92,104,36:21:00,2:54:28,1:55:29,5:32:12,87.3
Diego Nicolas AguirreM40-44,AR,#43,30,155,175,38:01:00,3:13:14,1:58:38,5:58:27,82.5
Guilherme MeloM40-44,BR,#161,18,116,132,36:07:00,2:59:54,1:59:32,5:44:05,84.8
Jonathan Roque ColomboM25-29",AR,#627,2,33,37,29:34:00,2:44:55,1:36:54,4:55:46,97.6
Vicente PolimeniM30-34,AR,#333,35,222,250,47:51:00,3:15:57,2:12:48,6:27:57,78.5
Mariela LiviF40-44,AR,#194,12,44,324,39:08:00,3:58:44,2:23:43,7:14:45,83
Guillermo Aquiles HuanchullanM35-39,AR,#399,48,226,254,48:47:00,3:29:30,2:04:07,6:30:33,78.4
Federico SchneebergerM45-49,AR,#128,4,26,30,31:13:00,2:40:15,1:33:16,4:49:26,97
Emiliano SalinasM35-39,AR,#406,38,180,202,35:30:00,3:16:49,2:04:33,6:06:26,81.9
Sebastian FernandezM45-49,AR,#536,29,160,180,44:24:00,3:16:23,1:49:27,5:58:51,84.6
Nick NelsonM35-39,US,#434,63,302,350,55:07:00,3:48:04,2:37:15,7:34:42,70.5
