Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Aristides Hoefel IvM40-44,BR,#830,14,69,75,29:17:00,2:33:05,1:27:26,4:34:20,96.5
Fernanda NuñezF45-49",AR,#1209,2,25,305,33:43:00,2:44:58,1:43:51,5:07:18,98.5
Gonzalo PereiraM40-44,AR,#1162,198,879,1062,47:17:00,3:02:19,2:55:13,6:59:52,73.3
NICOLAS FOUSSATSM40-44,AR,#1306,7,34,38,29:13:00,2:26:56,1:25:13,4:24:42,98.6
Eduardo LassMPRO,BR,#8,7,7,7,23:08,2:08:50,1:16:39,3:51:17,96.7
Alejandro MograbiM50-54,AR,#1174,35,453,520,42:48:00,2:45:26,1:52:08,5:26:34,89.9
Marcelo GruenbergM55-59,AR,#1315,23,523,599,42:08:00,2:46:45,1:57:54,5:35:18,88.2
Brenda BernardF30-34",AR,#1211,2,12,150,30:58:00,2:38:49,1:32:45,4:46:43,97.3
Angeles UraniF35-39,AR,#280,8,67,519,33:46:00,2:49:46,1:54:08,5:26:34,91.2
Federico FosterM40-44,AR,#801,9,48,52,26:34:00,2:25:42,1:33:04,4:28:37,97.7
Walter RipperM45-49,BR,#935,15,119,130,42:48:00,2:23:15,1:33:56,4:43:42,95.2
Rachel OlsonFPRO,US,#29,4,4,32,24:33:00,2:26:40,1:27:46,4:22:19,96.5
Juan Ignacio GaonaM30-34,AR,#607,62,430,491,42:51:00,2:50:58,1:42:14,5:23:53,87.5
Federico Martin GrunwaldtM40-44,AR,#805,88,373,417,38:48:00,2:40:16,1:50:43,5:17:34,88.2
Norberto Gonzalez CarreñoM45-49,AR,#950,121,763,894,38:29:00,2:56:36,2:26:27,6:12:45,80
Natally CostaF30-34,BR,#119,17,57,464,36:22:00,2:40:36,1:59:04,5:20:46,91.1
Leonardo PontesM40-44,BR,#840,143,560,641,41:20:00,2:57:15,1:51:53,5:40:33,84.3
Alexandra SiglerF25-29,AR,#366,8,91,696,38:02:00,3:04:42,1:58:37,5:47:13,90.2
Carlos Scherer KeenM50-54,AR,#204,58,661,765,40:49:00,2:57:21,2:07:29,5:54:36,85.3
Ricardo Ezequiel MontenegroM35-39,AR,#143,29,115,126,33:51:00,2:27:05,1:35:29,4:42:23,94
Gustavo GómezM35-39,AR,#698,158,726,846,44:37:00,3:00:28,2:12:43,6:04:41,79.9
Leonel TeseiM30-34,AR,#556,22,154,166,32:47:00,2:25:57,1:45:19,4:49:24,93.8
Diego DiasM25-29",BR,#1216,3,44,48,31:02:00,2:20:51,1:31:34,4:27:11,97.1
Oscar BarrozoM45-49,UY,#896,42,312,343,37:46:00,2:37:10,1:50:09,5:11:17,89.9
Ana Carolina Barros FerreiraF30-34,BR,#379,22,82,645,41:35:00,2:59:37,1:51:28,5:41:08,87.7
Juan GaleanoM35-39,AR,#1180,187,913,1108,53:33:00,3:43:44,2:51:58,7:36:58,68.4
Guillermo Gustavo MezzadriM50-54,AR,#1361,39,481,552,37:51:00,2:43:32,1:59:22,5:30:03,89.3
Gastón Diego AchigarM45-49,AR,#941,144,864,1044,44:06:00,3:15:33,2:41:12,6:50:10,75
Leandro DegasperiM40-44,AR,#884,158,637,736,44:07:00,2:56:31,2:04:42,5:51:20,82.6
Jiri Balarezo Del ValleM35-39,PE,#273,150,676,785,38:51:00,3:02:42,2:07:28,5:57:02,81.1
Jose Miguel Soto LagosM35-39,CL,#208,119,515,591,43:31:00,2:56:19,1:47:58,5:34:53,84.5
Fernando ToldiMPRO,BR,#15,10,10,10,23:11,2:07:41,1:25:31,3:58:47,95
Bruno KhouriM40-44",BR,#1235,1,14,15,27:19:00,2:16:43,1:23:09,4:10:19,101.8
Andrea Mariana GoncalvezF45-49,AR,#455,17,78,604,40:30:00,2:54:55,1:53:03,5:35:28,93.6
Osvaldo AvellaM35-39,AR,#690,116,510,584,35:40:00,2:49:31,2:03:02,5:34:08,84.6
Soledad MartinezF30-34",AR,#228,3,13,172,42:43:00,2:29:35,1:33:57,4:50:06,96.6
Douglas ArbuloM35-39,CL,#666,120,525,601,49:30:00,2:53:58,1:40:28,5:35:20,84.4
Mariajose RodriguezF30-34,PE,#386,33,151,945,41:35:00,2:57:58,2:32:50,6:22:45,81.5
Fernando CaseroM50-54,AR,#289,29,413,471,35:31:00,2:41:45,1:57:57,5:21:28,90.8
Julian IturbeM45-49,AR,#903,139,841,1016,34:08:00,3:19:54,2:38:29,6:42:13,76
